scientificName,individualCount,year,month,stateProvince,family,genus,decimalLatitude,decimalLongitude
Danaus petilia,1,2022,3,Queensland,Nymphalidae,Danaus,-27.11696,152.75309
Heteronympha merope,4,2023,4,New South Wales,Nymphalidae,Heteronympha,-33.59526,151.17005
Junonia villida,1,2017,10,New South Wales,Nymphalidae,Junonia,-29.1468,150.9882
Hypocysta adiante,7,2020,10,Queensland,Nymphalidae,Hypocysta,-28.653058,151.947315
Suniana sunias,2,2023,4,Queensland,Hesperiidae,Suniana,-17.3118,145.58736
Delias nigrina,4,2022,3,Queensland,Pieridae,Delias,-27.471604,153.066832
Eurema smilax,1,2021,2,Queensland,Pieridae,Eurema,-17.36004,144.8754
Delias nigrina,2,2020,8,Queensland,Pieridae,Delias,-17.31298,145.58702
Catopsilia pyranthe,1,2021,2,Queensland,Pieridae,Catopsilia,-27.53882,153.06634
Tirumala hamata,3,2020,2,Queensland,Nymphalidae,Tirumala,-27.64238,152.75208
Hypolimnas bolina,8,2021,1,Queensland,Nymphalidae,Hypolimnas,-17.31228,145.58723
Catopsilia pomona,1,2019,11,Queensland,Pieridae,Catopsilia,-27.637917,152.988056
Mydosama terminus,8,2023,1,Queensland,Nymphalidae,Mydosama,-17.3286,145.5046
Ornithoptera euphorion,1,2022,2,Queensland,Papilionidae,Ornithoptera,-17.31252,145.587222
Dispar compacta,4,2023,2,Victoria,Hesperiidae,Dispar,-38.4484,146.5902
Papilio (Princeps) aegeus,1,2020,8,Queensland,Papilionidae,Papilio,-17.31312,145.58683
Appias paulina,2,2022,10,Queensland,Pieridae,Appias,-24.8847,150.9805
Belenois java,1,2019,11,Queensland,Pieridae,Belenois,-23.10617,150.74162
Tirumala hamata,27,2020,3,Queensland,Nymphalidae,Tirumala,-27.53,152.99
Candalides xanthospilos,1,2022,1,Queensland,Lycaenidae,Candalides,-27.54018,153.04841
Eurema hecabe,1,2020,3,Queensland,Pieridae,Eurema,-27.64206,152.75162
Trapezites symmomus,3,2021,12,New South Wales,Hesperiidae,Trapezites,-33.2022,151.5472
Euschemon rafflesia,10,2020,2,Queensland,Hesperiidae,Euschemon,-17.56236,145.57985
Eurema herla,1,2020,10,Queensland,Pieridae,Eurema,-26.584931,151.806986
Eurema hecabe,2,2021,2,Queensland,Pieridae,Eurema,-16.9946,144.3082
Pieris rapae,1,2020,2,Queensland,Pieridae,Pieris,-27.53288,153.05364
Zizina otis,2,2023,3,Victoria,Lycaenidae,Zizina,-37.1492,146.4452
Papilio (Princeps) aegeus,1,2021,4,Queensland,Papilionidae,Papilio,-17.31281,145.58714
Graphium choredon,4,2023,1,Queensland,Papilionidae,Graphium,-17.3286,145.5046
